user_id,country,age,total_watch_minutes
U00321,Chile,25,1764
U00964,Mexico,56,1764
U00700,Peru,42,1761
U00715,Argentina,19,1759
U00075,Mexico,43,1757
U00521,Canada,41,1757
U00809,Argentina,54,1756
U00895,Canada,22,1753
U00824,Canada,60,1751
U00212,Canada,45,1748
U00413,Argentina,61,1748
U00026,Argentina,24,1748
U00545,Spain,59,1748
U00837,Brazil,26,1747
U00444,Spain,58,1746
U00858,Chile,45,1746
U00615,Peru,18,1745
U00199,USA,50,1743
U00463,Chile,58,1742
U00670,Chile,43,1741
U00681,Canada,39,1738
U00059,USA,53,1734
U00373,Chile,41,1731
U00518,USA,46,1726
U00278,Mexico,36,1724
U00498,Peru,45,1723
U00955,Argentina,48,1722
U00166,USA,51,1720
U00343,Peru,49,1717
U00328,Brazil,42,1713
U00728,Spain,47,1712
U00658,Canada,24,1712
U00229,Canada,23,1711
U00960,Chile,58,1704
U00021,Peru,19,1703
U00795,Spain,35,1703
U00607,Peru,55,1701
U00783,Argentina,51,1700
U00274,Mexico,58,1698
U00760,Spain,43,1694
U00135,Canada,62,1688
U00202,Argentina,30,1687
U00308,Chile,34,1686
U00165,Peru,42,1685
U00429,Spain,59,1684
U00263,Canada,33,1681
U00331,Peru,44,1681
U00102,Argentina,33,1679
U00220,Mexico,62,1679
U00483,Chile,23,1678
U00672,Chile,58,1677
U00435,Peru,54,1676
U00100,Brazil,53,1676
U00679,USA,47,1668
U00245,USA,42,1668
U00778,Chile,35,1662
U00642,USA,53,1658
U00852,Argentina,19,1658
U00036,Chile,26,1657
U00276,USA,40,1657
U00155,Brazil,58,1652
U00293,USA,27,1651
U00193,Canada,36,1650
U00945,Peru,21,1648
U00267,Spain,30,1642
U00499,Chile,26,1641
U00890,USA,32,1636
U00936,Brazil,36,1635
U00631,Argentina,53,1635
U00239,Peru,31,1633
U00490,Canada,60,1632
U00878,Mexico,37,1632
U00382,Spain,47,1630
U00310,Brazil,23,1630
U00651,Brazil,35,1630
U00188,Argentina,31,1627
U00915,Mexico,26,1627
U00624,Mexico,20,1625
U00590,Brazil,30,1624
U00561,Canada,33,1623
U00176,Peru,57,1623
U00513,USA,60,1622
U00801,Spain,21,1620
U00305,Argentina,33,1620
U00515,Chile,48,1620
U00574,Chile,49,1619
U00850,Spain,45,1619
U00818,Canada,24,1617
U00514,Argentina,39,1616
U00226,Peru,41,1616
U00906,Argentina,24,1614
U00324,Argentina,20,1612
U00462,Canada,38,1611
U00811,Spain,33,1610
U00716,Canada,24,1610
U00613,Mexico,23,1609
U00434,Brazil,23,1608
U00889,Chile,41,1605
U00427,Argentina,29,1605
U00271,Spain,24,1601
U00336,Spain,62,1600
U00743,Spain,23,1600
U00342,Mexico,65,1597
U00159,Peru,64,1596
U00540,Brazil,30,1595
U00634,Chile,25,1594
U00871,Brazil,65,1594
U00029,Brazil,23,1593
U00233,Chile,20,1592
U00423,Spain,32,1591
U00437,Argentina,34,1590
U00968,Argentina,48,1588
U00312,Spain,37,1588
U00959,Spain,59,1587
U00204,USA,19,1585
U00877,Brazil,30,1585
U00455,Spain,38,1585
U00151,Argentina,26,1584
U00112,USA,46,1583
U00040,Brazil,62,1583
U00678,Brazil,36,1582
U00835,Canada,53,1582
U00428,USA,39,1581
U00224,Chile,54,1581
U00237,Chile,36,1581
U00145,Chile,28,1579
U00649,Brazil,43,1577
U00524,Brazil,21,1576
U00126,Argentina,24,1575
U00346,Peru,48,1573
U00185,Argentina,19,1572
U00121,Peru,32,1572
U00458,Spain,63,1571
U00372,Spain,19,1571
U00867,Chile,61,1570
U00178,Peru,59,1569
U00186,Argentina,37,1569
U00115,Spain,44,1567
U00407,Chile,54,1567
U00072,Argentina,44,1567
U00775,Argentina,49,1561
U00273,USA,40,1557
U00836,Mexico,38,1556
U00692,Brazil,50,1554
U00283,Chile,27,1553
U00039,Canada,27,1552
U00124,USA,34,1552
U00962,Chile,24,1550
U00752,Mexico,51,1548
U00392,Spain,48,1547
U00799,USA,26,1547
U00175,Canada,62,1546
U00864,Brazil,26,1546
U00950,Mexico,37,1545
U00802,Peru,62,1542
U00937,Argentina,36,1539
U00465,Argentina,38,1537
U00064,Peru,27,1537
U00921,Peru,18,1535
U00828,Chile,51,1535
U00240,Canada,43,1535
U00131,USA,37,1534
U00927,Argentina,21,1533
U00213,Spain,44,1533
U00037,Chile,60,1532
U00254,USA,30,1532
U00076,Spain,23,1529
U00101,Mexico,51,1529
U00243,Spain,30,1528
U00847,Spain,54,1528
U00386,Brazil,39,1527
U00771,Mexico,45,1525
U00209,Peru,44,1525
U00133,USA,58,1522
U00349,Mexico,21,1521
U00551,Spain,34,1520
U00478,Argentina,23,1519
U00511,Brazil,43,1518
U00203,Argentina,30,1517
U00471,Spain,23,1513
U00603,Canada,34,1512
U00334,Chile,46,1509
U00893,Peru,26,1507
U00466,Brazil,65,1504
U00742,Chile,44,1504
U00687,Brazil,58,1504
U00017,Brazil,30,1503
U00609,Brazil,28,1503
U00500,Peru,32,1499
U00447,Mexico,43,1498
U00389,Mexico,61,1497
U00109,Canada,53,1497
U00614,Brazil,58,1497
U00952,Mexico,29,1497
U00621,Argentina,51,1496
U00807,USA,56,1495
U00069,Canada,49,1493
U00887,Mexico,39,1493
U00253,Chile,56,1491
U00667,Brazil,37,1491
U00019,Mexico,48,1491
U00905,Brazil,46,1489
U00051,Mexico,52,1487
U00385,Peru,18,1486
U00718,Brazil,42,1486
U00046,USA,49,1485
U00172,Argentina,38,1485
U00770,Brazil,61,1485
U00053,Canada,32,1484
U00182,Brazil,36,1483
U00472,Argentina,48,1483
U00012,USA,38,1480
U00044,Argentina,28,1478
U00997,Spain,46,1477
U00806,Argentina,30,1475
U00045,Brazil,51,1474
U00406,Argentina,28,1474
U00859,Brazil,34,1474
U00724,Chile,34,1471
U00535,Mexico,39,1470
U00697,Argentina,21,1467
U00376,Chile,47,1465
U00007,Spain,30,1463
U00354,Spain,22,1463
U00566,USA,56,1463
U00849,USA,32,1463
U00241,USA,58,1462
U00816,Argentina,24,1462
U00620,Mexico,29,1462
U00712,USA,38,1461
U00773,Argentina,18,1460
U00351,Canada,38,1459
U00187,Canada,54,1458
U00355,Mexico,58,1455
U00984,Canada,24,1455
U00016,Peru,65,1452
U00874,Mexico,50,1452
U00544,Canada,22,1451
U00249,Mexico,39,1451
U00886,Brazil,26,1449
U00108,Mexico,40,1445
U00506,USA,44,1443
U00425,Brazil,26,1439
U00106,Argentina,44,1438
U00744,Brazil,55,1438
U00627,Mexico,62,1434
U00236,Canada,62,1432
U00827,Canada,34,1431
U00710,Argentina,51,1430
U00914,Brazil,23,1430
U00088,Brazil,58,1427
U00073,Mexico,59,1425
U00866,Argentina,39,1423
U00617,Argentina,51,1422
U00587,Spain,34,1421
U00689,Brazil,27,1420
U00942,Mexico,39,1414
U00865,Brazil,53,1414
U00281,Peru,55,1414
U00225,USA,35,1413
U00872,Mexico,46,1412
U00161,Brazil,36,1412
U00097,Canada,21,1410
U00774,USA,49,1409
U00640,Argentina,20,1408
U00288,Brazil,38,1408
U00832,Brazil,42,1406
U00831,Peru,64,1405
U00829,Peru,63,1404
U00038,Canada,44,1404
U00009,Mexico,50,1403
U00990,Argentina,40,1403
U00364,Peru,22,1402
U00985,Argentina,21,1400
U00497,Chile,65,1399
U00330,Peru,53,1398
U00359,Peru,20,1395
U00006,Canada,35,1395
U00717,Canada,49,1394
U00415,Canada,41,1394
U00772,Chile,62,1394
U00316,Spain,56,1391
U00860,Mexico,60,1389
U00992,Brazil,49,1389
U00300,Peru,64,1389
U00999,Peru,41,1388
U00848,Spain,48,1387
U00780,Peru,62,1387
U00068,Peru,47,1386
U00338,Brazil,63,1384
U00485,Brazil,43,1384
U00777,Mexico,18,1383
U00567,Mexico,57,1383
U00438,Spain,63,1383
U00973,USA,52,1382
U00702,Mexico,58,1382
U00453,USA,25,1381
U00492,USA,64,1380
U00379,Spain,40,1379
U00616,Peru,19,1379
U00839,Mexico,39,1378
U00958,Brazil,24,1378
U00080,Argentina,29,1373
U00912,Chile,22,1370
U00598,Chile,47,1370
U00296,Spain,36,1369
U00695,Mexico,61,1368
U00569,Argentina,56,1367
U00741,Canada,60,1366
U00167,Canada,28,1366
U00788,Spain,50,1364
U00398,Canada,37,1362
U00722,Canada,42,1362
U00546,Chile,48,1362
U00050,USA,36,1362
U00013,Chile,55,1360
U00755,Canada,57,1359
U00221,USA,52,1359
U00493,Spain,29,1357
U00729,Peru,41,1356
U00079,Chile,60,1355
U00105,Brazil,57,1355
U00994,Brazil,43,1355
U00610,Mexico,48,1353
U00969,Mexico,50,1353
U00387,USA,39,1351
U00841,Peru,54,1351
U00216,Spain,29,1350
U00967,Argentina,61,1348
U00228,Canada,33,1347
U00179,USA,42,1347
U00766,Chile,53,1346
U00655,Peru,27,1345
U00099,Peru,39,1343
U00814,Mexico,31,1342
U00449,Spain,64,1342
U00813,USA,60,1342
U00022,Canada,57,1342
U00559,Spain,28,1341
U00280,Canada,53,1341
U00713,Canada,23,1340
U00562,Chile,19,1339
U00880,Canada,29,1339
U00333,Canada,21,1338
U00084,Chile,25,1336
U00452,Brazil,23,1336
U00956,USA,24,1336
U00548,Brazil,55,1335
U00830,USA,38,1335
U00439,Argentina,48,1335
U00779,Spain,61,1333
U00734,Argentina,26,1332
U00790,USA,28,1332
U00856,USA,49,1332
U00232,Spain,32,1332
U00360,Chile,33,1332
U00303,Mexico,28,1330
U00078,Peru,37,1330
U00508,USA,26,1327
U00456,Argentina,26,1327
U00056,Brazil,30,1325
U00327,Spain,60,1325
U00600,Peru,60,1325
U00476,Chile,46,1323
U00765,Mexico,55,1323
U00294,Peru,51,1322
U00450,USA,50,1322
U00641,Mexico,33,1320
U00810,Peru,32,1320
U00369,Peru,64,1319
U00164,Spain,61,1319
U00576,Brazil,56,1319
U00943,USA,60,1318
U00630,Chile,32,1316
U00367,Brazil,32,1315
U00924,Chile,19,1312
U00489,Peru,59,1312
U00138,Brazil,32,1310
U00572,Brazil,65,1310
U00287,Mexico,36,1310
U00740,Brazil,61,1310
U00284,Peru,48,1309
U00881,Brazil,46,1308
U00461,Argentina,35,1307
U00820,USA,24,1305
U00067,Canada,43,1303
U00556,Canada,19,1301
U00004,Spain,35,1301
U00664,Argentina,54,1297
U00060,Mexico,31,1295
U00527,USA,54,1295
U00680,Spain,35,1293
U00723,Mexico,57,1292
U00082,Spain,41,1291
U00074,USA,28,1291
U00122,Argentina,26,1291
U00646,Chile,50,1289
U00618,Brazil,48,1287
U00505,Argentina,52,1287
U00519,USA,62,1286
U00304,USA,44,1284
U00081,Brazil,47,1283
U00946,Canada,34,1283
U00838,USA,56,1283
U00803,Brazil,52,1280
U00219,Mexico,48,1279
U00010,USA,30,1279
U00571,Argentina,38,1279
U00786,Canada,52,1277
U00180,Peru,50,1274
U00460,Chile,50,1274
U00146,Mexico,26,1273
U00340,Brazil,32,1268
U00804,USA,34,1267
U00939,Spain,29,1267
U00247,Mexico,19,1266
U00525,USA,55,1265
U00509,Argentina,64,1263
U00520,Peru,31,1263
U00747,USA,22,1261
U00855,Argentina,52,1258
U00785,Peru,46,1255
U00323,Argentina,19,1253
U00217,Peru,44,1253
U00903,USA,35,1248
U00403,USA,42,1246
U00424,Spain,59,1243
U00628,Argentina,24,1243
U00550,Canada,60,1242
U00796,Mexico,23,1242
U00024,Mexico,24,1242
U00487,Chile,48,1240
U00174,Peru,25,1240
U00701,Argentina,47,1239
U00190,Canada,27,1239
U00357,Canada,33,1238
U00083,Mexico,65,1238
U00162,Peru,56,1236
U00721,Canada,19,1234
U00754,Spain,40,1234
U00873,Mexico,46,1232
U00329,USA,46,1232
U00953,Brazil,65,1232
U00986,USA,51,1231
U00171,USA,60,1231
U00156,Peru,21,1231
U00650,Argentina,58,1229
U00495,Spain,46,1229
U00894,Chile,37,1228
U00733,Canada,43,1228
U00368,Chile,19,1224
U00484,USA,55,1224
U00322,Mexico,47,1223
U00637,USA,55,1223
U00275,Canada,43,1222
U00420,USA,55,1221
U00063,Mexico,41,1220
U00522,Chile,63,1219
U00002,Canada,61,1218
U00611,USA,65,1218
U00846,Chile,49,1218
U00350,Peru,26,1217
U00526,Canada,40,1215
U00989,Spain,21,1215
U00884,Mexico,40,1215
U00218,Peru,53,1215
U00307,Chile,37,1212
U00538,Mexico,51,1211
U00597,Canada,50,1211
U00136,Spain,65,1210
U00638,Argentina,22,1209
U00647,USA,23,1208
U00023,Spain,27,1208
U00062,Canada,29,1207
U00071,Canada,63,1207
U00272,Canada,65,1207
U00397,Canada,55,1206
U00183,Brazil,48,1205
U00318,Brazil,51,1202
U00448,Peru,45,1202
U00277,Brazil,57,1200
U00578,Brazil,63,1198
U00626,Argentina,25,1197
U00400,USA,35,1190
U00348,Spain,46,1188
U00393,USA,64,1187
U00426,Canada,19,1186
U00756,Spain,28,1185
U00599,Spain,19,1185
U00457,Spain,36,1184
U00833,Mexico,41,1184
U00139,Canada,19,1179
U00123,USA,54,1178
U00055,Mexico,60,1177
U00152,Brazil,42,1176
U00113,Chile,56,1176
U00401,Spain,43,1176
U00111,Mexico,64,1174
U00951,Brazil,48,1173
U00987,Spain,30,1173
U00948,Chile,37,1171
U01000,Chile,50,1171
U00196,Peru,37,1170
U00467,Canada,43,1170
U00938,USA,51,1168
U00657,USA,37,1165
U00805,Brazil,60,1164
U00158,Chile,52,1163
U00861,Canada,46,1163
U00140,USA,50,1163
U00930,Peru,34,1163
U00904,Canada,29,1159
U00103,Mexico,27,1157
U00686,Spain,21,1155
U00916,Mexico,60,1154
U00261,USA,25,1153
U00041,Argentina,23,1149
U00098,Chile,18,1149
U00297,USA,53,1149
U00671,Chile,46,1148
U00907,Spain,37,1147
U00042,Chile,31,1146
U00313,Brazil,35,1146
U00481,Peru,32,1144
U00358,Mexico,19,1143
U00409,Brazil,40,1142
U00800,Brazil,38,1142
U00543,Argentina,54,1141
U00011,Mexico,30,1137
U00086,Canada,53,1135
U00289,Brazil,41,1134
U00720,USA,22,1134
U00570,Brazil,22,1134
U00888,Argentina,46,1133
U00983,Chile,19,1133
U00394,Spain,61,1129
U00625,Chile,44,1129
U00619,Chile,63,1128
U00015,Peru,23,1128
U00332,Peru,42,1127
U00644,Argentina,59,1126
U00528,USA,23,1125
U00991,Spain,55,1124
U00739,Mexico,34,1123
U00157,Spain,40,1122
U00929,Mexico,22,1122
U00206,Chile,28,1120
U00976,Chile,46,1120
U00430,USA,57,1119
U00087,Spain,18,1119
U00388,Mexico,23,1118
U00966,Canada,20,1118
U00653,Peru,49,1117
U00612,Canada,37,1114
U00025,Brazil,41,1113
U00975,Mexico,60,1112
U00531,Argentina,23,1112
U00870,Brazil,36,1112
U00688,Spain,33,1108
U00244,Mexico,64,1107
U00932,USA,39,1107
U00502,Chile,41,1107
U00899,Brazil,31,1104
U00459,Peru,50,1103
U00869,Brazil,35,1100
U00363,Chile,36,1099
U00661,Mexico,50,1097
U00791,Chile,60,1097
U00246,Argentina,59,1096
U00736,Peru,32,1094
U00516,Brazil,40,1094
U00588,Canada,41,1093
U00441,Brazil,27,1092
U00817,Peru,52,1092
U00690,Argentina,19,1090
U00954,Canada,43,1090
U00677,Chile,41,1090
U00761,Brazil,65,1089
U00910,Mexico,42,1089
U00549,Chile,47,1089
U00633,Chile,57,1089
U00057,Peru,21,1086
U00031,Chile,26,1084
U00982,Canada,49,1083
U00925,Argentina,65,1083
U00091,Brazil,46,1083
U00882,Argentina,33,1082
U00362,Canada,27,1079
U00008,Mexico,55,1078
U00153,Spain,38,1077
U00242,Canada,52,1076
U00290,Mexico,20,1076
U00908,Spain,38,1075
U00980,USA,54,1075
U00862,Peru,56,1074
U00405,Spain,44,1074
U00707,USA,40,1072
U00479,Chile,30,1071
U00892,USA,24,1067
U00422,Mexico,25,1067
U00347,Chile,62,1064
U00496,Argentina,36,1064
U00691,Canada,65,1063
U00034,Chile,52,1063
U00636,Argentina,64,1056
U00757,Peru,55,1054
U00341,Brazil,21,1051
U00286,Brazil,45,1049
U00374,Argentina,60,1049
U00061,Chile,52,1046
U00195,USA,58,1045
U00291,Chile,55,1044
U00656,Chile,24,1043
U00753,Chile,59,1041
U00974,Chile,34,1039
U00781,Spain,54,1039
U00230,Argentina,26,1038
U00897,Argentina,20,1036
U00787,Mexico,45,1035
U00306,Brazil,64,1035
U00197,Brazil,22,1034
U00875,USA,63,1033
U00089,Chile,38,1033
U00917,USA,38,1031
U00748,Argentina,63,1030
U00470,Mexico,22,1029
U00433,USA,52,1028
U00676,Spain,64,1027
U00418,Mexico,51,1026
U00789,Brazil,43,1026
U00941,Chile,32,1022
U00085,Chile,52,1022
U00782,Brazil,28,1021
U00147,Brazil,35,1019
U00732,Chile,29,1019
U00533,USA,32,1019
U00885,Canada,45,1017
U00589,Mexico,22,1017
U00648,Brazil,36,1014
U00971,Chile,53,1013
U00784,USA,22,1011
U00977,Peru,18,1011
U00901,Chile,44,1009
U00749,Argentina,32,1009
U00654,Peru,57,1009
U00981,Peru,30,1007
U00222,Mexico,19,1003
U00730,Brazil,51,999
U00725,Peru,55,998
U00114,Argentina,37,997
U00270,Canada,29,993
U00919,Peru,61,990
U00685,Peru,53,990
U00148,Mexico,27,989
U00684,Spain,33,989
U00854,Brazil,47,989
U00070,Spain,24,982
U00708,Mexico,60,980
U00170,Canada,38,979
U00577,Canada,44,978
U00568,Argentina,24,977
U00298,Brazil,43,975
U00486,Spain,33,974
U00125,Peru,46,974
U00134,Mexico,47,974
U00411,Canada,49,972
U00530,Peru,55,972
U00727,Mexico,48,971
U00033,Canada,58,970
U00557,Brazil,59,969
U00090,Mexico,64,967
U00751,Brazil,34,966
U00361,Argentina,53,966
U00643,Chile,46,965
U00215,Spain,64,965
U00883,Spain,47,963
U00440,Canada,63,962
U00110,USA,43,961
U00608,Mexico,30,961
U00853,Argentina,38,958
U00129,Argentina,35,958
U00705,Canada,36,958
U00900,Brazil,41,955
U00150,Canada,47,955
U00553,USA,58,953
U00660,Canada,31,953
U00934,Chile,34,951
U00663,Spain,56,947
U00445,USA,53,944
U00706,Argentina,63,944
U00258,Spain,26,943
U00410,Spain,64,942
U00536,USA,36,940
U00279,Chile,33,940
U00260,Mexico,40,939
U00793,Spain,34,935
U00694,Canada,20,933
U00776,Chile,32,932
U00947,USA,41,932
U00555,Peru,25,931
U00446,Spain,65,929
U00575,Canada,37,926
U00582,Spain,50,922
U00314,Mexico,43,920
U00454,Mexico,55,920
U00118,Canada,47,919
U00378,Peru,39,917
U00949,Canada,54,913
U00315,Peru,42,911
U00558,Argentina,31,910
U00214,USA,47,908
U00375,Chile,25,908
U00547,USA,48,907
U00414,Canada,27,906
U00302,Canada,24,903
U00623,Canada,42,901
U00416,Canada,55,900
U00902,Spain,48,898
U00726,Canada,59,898
U00928,Mexico,24,897
U00711,Mexico,31,897
U00714,Peru,31,896
U00443,USA,57,895
U00673,Argentina,27,893
U00093,Chile,19,893
U00231,Spain,61,892
U00731,Brazil,44,890
U00534,Mexico,45,890
U00935,Canada,26,889
U00339,USA,30,889
U00961,USA,34,888
U00380,Spain,40,886
U00592,USA,40,872
U00477,Chile,47,869
U00095,Chile,58,865
U00251,Peru,41,862
U00645,Mexico,26,861
U00252,USA,26,861
U00014,Spain,28,858
U00194,Brazil,23,857
U00669,Peru,49,853
U00268,Chile,19,852
U00001,Spain,26,852
U00581,USA,63,846
U00436,Argentina,60,845
U00822,Canada,32,845
U00988,Spain,53,842
U00668,Brazil,21,841
U00468,USA,48,840
U00898,Canada,51,839
U00235,USA,64,838
U00005,Spain,64,838
U00352,Canada,58,835
U00043,Spain,56,833
U00262,Chile,41,831
U00035,Canada,65,826
U00635,USA,26,822
U00602,Mexico,42,819
U00234,Canada,21,809
U00920,Canada,48,809
U00682,USA,61,808
U00365,Mexico,19,803
U00119,Chile,58,802
U00018,Spain,55,798
U00128,Argentina,38,796
U00227,Mexico,32,796
U00301,Argentina,32,794
U00299,Peru,61,793
U00998,Peru,41,792
U00054,Spain,42,788
U00764,Mexico,49,787
U00412,Spain,61,786
U00965,Peru,65,783
U00596,Spain,32,781
U00320,USA,23,780
U00583,Brazil,41,779
U00132,Argentina,32,763
U00696,Spain,21,762
U00028,Peru,30,761
U00652,Chile,25,758
U00421,Brazil,24,755
U00746,Spain,58,743
U00210,Chile,63,739
U00996,Canada,48,735
U00940,Brazil,35,727
U00674,Argentina,28,723
U00842,Brazil,55,723
U00143,Canada,57,721
U00703,Canada,35,718
U00223,Peru,49,717
U00601,USA,41,713
U00048,Brazil,48,704
U00295,Argentina,41,698
U00047,Spain,35,698
U00065,Mexico,32,693
U00404,Brazil,21,691
U00585,Peru,25,691
U00173,Spain,32,690
U00116,Brazil,26,676
U00735,Argentina,57,671
U00857,Brazil,23,669
U00371,Brazil,37,668
U00926,USA,20,668
U00923,Mexico,24,666
U00353,Spain,43,665
U00863,Mexico,20,663
U00769,USA,48,658
U00370,Canada,53,648
U00144,Peru,49,639
U00408,Brazil,28,621
U00335,Mexico,61,618
U00539,Mexico,26,614
U00356,Brazil,49,612
U00580,Spain,64,606
U00163,Brazil,35,601
U00758,Brazil,27,584
U00532,USA,48,575
U00918,Spain,31,574
U00737,Spain,32,565
U00808,Mexico,57,564
U00606,Peru,41,559
U00264,Mexico,53,529
U00474,Peru,59,527
U00211,Chile,22,508
U00659,Chile,34,436
U00503,Spain,43,406
U00851,Argentina,62,397
U00821,Peru,26,377
