user_id,country,age,subscription_plan,registration_date
U00115,Chile,37,Standard,2024-04-23
U00116,Brazil,38,Standard,2025-06-24
U00117,Mexico,47,Standard,2023-12-29
U00118,Peru,39,Premium,2024-03-25
U00119,Canada,18,Basic,2024-01-09
U00120,Argentina,40,Premium,2023-04-19
U00121,Argentina,35,Premium,2025-05-30
U00122,Peru,44,Standard,2021-03-19
U00123,Chile,30,Premium,2022-03-28
U00124,USA,51,Basic,2025-02-26
U00125,Canada,50,Basic,2025-02-09
U00126,Argentina,42,Standard,2021-03-24
U00127,Canada,41,Premium,2025-11-21
U00128,USA,48,Premium,2021-07-09
U00129,Argentina,50,Basic,2022-07-15
U00130,Peru,60,Standard,2024-07-28
U00131,Argentina,20,Standard,2023-09-17
U00132,Canada,24,Premium,2021-01-24
U00133,Brazil,57,Premium,2022-03-15
U00134,Brazil,59,Premium,2021-04-27
U00135,Peru,21,Premium,2023-08-12
U00136,Brazil,25,Standard,2022-05-26
U00137,Canada,28,Standard,2021-10-25
U00138,Argentina,54,Premium,2021-11-22
U00139,Chile,42,Basic,2023-12-17
U00140,Spain,36,Premium,2020-12-23
U00141,Brazil,57,Premium,2021-03-10
U00142,Chile,31,Basic,2026-03-08
U00143,Mexico,61,Standard,2025-10-03
U00144,Brazil,31,Basic,2026-01-09
U00145,Canada,44,Premium,2024-12-25
U00146,USA,35,Premium,2026-03-03
U00147,Mexico,24,Standard,2021-01-29
U00148,Chile,57,Standard,2024-02-05
U00149,USA,21,Basic,2025-03-04
U00150,Spain,61,Premium,2020-11-16
U00151,Canada,45,Premium,2022-04-01
U00152,Argentina,43,Premium,2024-01-07
U00153,Spain,39,Standard,2024-03-19
U00154,Canada,43,Standard,2026-01-28
U00155,Brazil,29,Standard,2021-10-01
U00156,Peru,36,Standard,2025-03-09
U00157,Peru,57,Premium,2021-03-24
U00158,Mexico,25,Basic,2024-10-21
U00159,Canada,20,Basic,2022-01-06
U00160,Spain,36,Standard,2025-02-03
U00161,Chile,52,Standard,2023-12-08
U00162,Brazil,58,Basic,2025-06-09
U00163,Chile,52,Basic,2026-03-31
U00164,Brazil,61,Premium,2023-04-02
U00165,Peru,29,Premium,2022-02-11
U00166,USA,61,Standard,2024-04-09
U00167,Mexico,32,Premium,2022-09-04
U00168,Spain,28,Basic,2024-04-15
U00169,USA,20,Basic,2022-06-10
U00170,Peru,23,Basic,2025-10-23
U00171,Spain,58,Premium,2021-02-28
U00172,Argentina,20,Basic,2025-09-07
U00173,Argentina,24,Standard,2021-02-08
U00174,Mexico,18,Standard,2025-01-15
U00175,Spain,36,Premium,2021-04-21
U00176,Mexico,59,Standard,2025-02-12
U00177,Chile,37,Standard,2025-06-27
U00178,Chile,55,Basic,2022-06-27
U00179,Peru,58,Basic,2023-12-30
U00180,Peru,18,Basic,2023-11-27
U00181,Spain,37,Standard,2021-07-22
U00182,Chile,61,Basic,2025-08-17
U00183,Brazil,25,Standard,2023-09-10
U00184,Mexico,23,Premium,2021-01-28
U00185,Canada,24,Premium,2024-08-30
U00186,Brazil,23,Premium,2021-05-01
U00187,Argentina,22,Standard,2026-02-18
U00188,Canada,61,Premium,2025-02-15
U00189,Mexico,33,Basic,2021-07-14
U00190,Spain,39,Basic,2025-06-13
U00191,Spain,60,Premium,2022-05-22
U00192,Argentina,55,Premium,2023-05-11
U00193,Argentina,55,Standard,2022-12-21
U00194,Brazil,31,Premium,2025-02-11
U00195,Canada,57,Premium,2020-11-27
U00196,Canada,56,Premium,2026-01-23
U00197,Spain,51,Premium,2025-12-08
U00198,Mexico,61,Basic,2020-12-24
U00199,USA,20,Premium,2020-12-14
U00200,USA,28,Premium,2024-04-16
U00201,USA,27,Premium,2025-06-25
U00202,Argentina,51,Standard,2023-07-25
U00203,Canada,23,Basic,2022-03-09
U00204,Argentina,25,Basic,2022-05-20
U00205,Peru,26,Premium,2026-04-04
U00206,Peru,51,Standard,2026-04-07
U00207,USA,59,Premium,2021-01-14
U00208,Canada,58,Premium,2024-10-12
U00209,Spain,47,Premium,2025-07-09
U00210,Peru,23,Premium,2023-02-17
U00211,Mexico,26,Basic,2023-02-08
U00212,Brazil,34,Premium,2021-11-27
U00213,Canada,35,Basic,2024-12-06
U00214,Canada,64,Premium,2021-09-06
U00215,USA,57,Premium,2025-04-04
U00216,Spain,37,Premium,2023-04-10
U00217,Peru,24,Premium,2026-04-09
U00218,Peru,34,Basic,2025-11-10
U00219,Chile,41,Premium,2021-11-27
U00220,Canada,50,Premium,2025-03-18
U00221,Chile,61,Basic,2024-08-09
U00222,Chile,46,Premium,2021-02-09
U00223,Chile,30,Basic,2021-01-26
U00224,Brazil,37,Basic,2021-09-22
U00225,Mexico,54,Basic,2024-06-13
U00226,Mexico,30,Standard,2024-07-01
U00227,USA,19,Basic,2021-08-19
U00228,Argentina,34,Premium,2023-10-21
U00229,Peru,32,Basic,2025-11-15
U00230,Canada,60,Premium,2023-01-05
U00231,Canada,23,Basic,2025-02-14
U00232,Argentina,45,Basic,2021-03-29
U00233,Chile,35,Standard,2026-04-09
U00234,Brazil,60,Premium,2022-04-21
U00235,Chile,40,Premium,2022-12-29
U00236,Argentina,20,Basic,2021-01-15
U00237,Brazil,50,Premium,2021-12-10
U00238,USA,47,Premium,2022-12-24
U00239,Peru,40,Basic,2022-04-08
U00240,Peru,44,Standard,2021-03-12
U00241,Peru,49,Premium,2024-04-07
U00242,USA,56,Basic,2024-05-05
U00243,Brazil,65,Premium,2025-10-09
U00244,Chile,57,Premium,2022-09-04
U00245,Canada,32,Standard,2021-07-09
U00246,Peru,31,Basic,2024-08-25
U00247,Brazil,19,Premium,2022-02-21
U00248,Mexico,49,Premium,2022-10-06
U00249,Peru,27,Basic,2025-02-25
U00250,USA,49,Premium,2023-11-17
U00251,Argentina,41,Standard,2021-10-07
U00252,Canada,35,Basic,2021-03-04
U00253,USA,37,Standard,2021-03-04
U00254,USA,48,Premium,2022-08-22
U00255,Canada,61,Basic,2025-01-01
U00256,Canada,45,Standard,2023-10-13
U00257,Chile,43,Standard,2025-08-02
U00258,Spain,38,Premium,2021-06-05
U00259,USA,42,Premium,2025-11-15
U00260,Spain,44,Standard,2023-08-18
U00261,Canada,39,Standard,2025-12-02
U00262,Spain,18,Basic,2025-12-30
U00263,Brazil,56,Premium,2025-08-04
U00264,Canada,64,Basic,2021-06-16
U00265,USA,43,Premium,2025-04-27
U00266,Peru,47,Basic,2026-01-12
U00267,Mexico,38,Basic,2024-09-16
U00268,USA,52,Standard,2026-03-27
U00269,Spain,44,Premium,2023-02-19
U00270,Argentina,46,Basic,2025-09-22
U00271,Canada,22,Basic,2023-08-25
U00272,Brazil,35,Basic,2025-06-27
U00273,Canada,42,Premium,2021-09-14
U00274,Spain,47,Premium,2024-02-07
U00275,Peru,53,Basic,2022-09-30
U00276,Brazil,59,Premium,2025-01-02
U00277,Peru,42,Standard,2020-12-07
U00278,Brazil,49,Basic,2021-01-13
U00279,Canada,39,Standard,2021-11-20
U00280,Chile,21,Premium,2024-12-16
U00281,Spain,44,Basic,2024-09-27
U00282,Canada,63,Premium,2023-03-16
U00283,Peru,43,Basic,2022-05-27
U00284,Spain,41,Standard,2025-03-07
U00285,Mexico,18,Standard,2023-09-27
U00286,Peru,46,Premium,2024-09-30
U00287,Canada,55,Basic,2025-06-11
U00288,Spain,32,Premium,2024-12-16
U00289,Peru,23,Premium,2025-01-04
U00290,Chile,29,Premium,2024-05-12
U00291,Chile,44,Basic,2022-11-15
U00292,Argentina,38,Standard,2025-08-09
U00293,Chile,50,Premium,2022-12-06
U00294,Mexico,38,Basic,2024-08-03
U00295,Mexico,52,Basic,2023-05-10
U00296,Peru,27,Premium,2025-08-04
U00297,Chile,18,Basic,2024-04-26
U00298,USA,39,Standard,2026-03-20
U00299,Peru,41,Premium,2021-04-06
U00300,USA,38,Basic,2026-01-31
U00301,Brazil,24,Basic,2025-05-25
U00302,Peru,24,Basic,2024-10-30
U00303,Argentina,60,Premium,2025-01-03
U00304,Mexico,38,Standard,2024-08-20
U00305,Brazil,26,Premium,2024-07-03
U00306,Canada,58,Standard,2025-11-12
U00307,Mexico,46,Basic,2023-02-25
U00308,Canada,53,Basic,2024-09-04
U00309,Argentina,35,Premium,2022-10-07
U00310,Spain,62,Standard,2022-07-22
U00311,Brazil,18,Standard,2023-01-18
U00312,Chile,36,Basic,2025-02-16
U00313,Brazil,23,Premium,2023-03-31
U00314,Canada,33,Basic,2021-10-11
U00315,Brazil,54,Basic,2021-02-12
U00316,Spain,51,Basic,2021-09-05
U00317,Argentina,42,Standard,2020-12-17
U00318,Chile,32,Basic,2023-09-20
U00319,Chile,21,Premium,2023-08-17
U00320,USA,54,Premium,2023-04-23
U00321,Argentina,19,Basic,2022-07-10
U00322,Spain,37,Standard,2024-11-02
U00323,USA,59,Premium,2024-09-11
U00324,Spain,63,Premium,2023-01-22
U00325,Spain,35,Standard,2025-04-27
U00326,Peru,62,Basic,2022-11-28
U00327,Spain,46,Standard,2022-08-08
U00328,USA,24,Basic,2022-05-03
U00329,Brazil,19,Basic,2021-08-04
U00330,Spain,39,Basic,2021-08-09
U00331,Spain,63,Basic,2026-02-28
U00332,Peru,39,Standard,2024-05-30
U00333,Argentina,59,Premium,2021-09-02
U00334,Brazil,33,Premium,2021-08-03
U00335,Chile,63,Basic,2023-02-26
U00336,Canada,22,Standard,2025-10-12
U00337,Peru,38,Basic,2024-01-17
U00338,Chile,32,Standard,2024-07-12
U00339,USA,37,Basic,2025-06-21
U00340,USA,38,Standard,2025-01-08
U00341,Chile,59,Basic,2023-05-24
U00342,Brazil,59,Basic,2022-02-12
U00343,Chile,47,Standard,2022-08-09
U00344,Brazil,39,Premium,2021-05-27
U00345,USA,55,Premium,2025-09-19
U00346,Chile,59,Basic,2023-01-05
U00347,Brazil,65,Premium,2024-09-16
U00348,USA,19,Standard,2020-12-17
U00349,Canada,54,Premium,2022-10-27
U00350,USA,63,Basic,2021-11-08
U00351,Peru,65,Standard,2025-04-30
U00352,Chile,40,Basic,2026-02-06
U00353,USA,47,Basic,2022-11-12
U00354,Chile,21,Premium,2022-11-13
U00355,Mexico,65,Basic,2022-04-13
U00356,Argentina,18,Premium,2023-06-09
U00357,Argentina,40,Premium,2024-07-09
U00358,Mexico,25,Basic,2023-01-31
U00359,Mexico,60,Standard,2022-04-07
U00360,Argentina,50,Standard,2025-08-03
U00361,Peru,50,Basic,2026-02-05
U00362,Spain,19,Standard,2021-12-31
U00363,Argentina,61,Premium,2021-10-14
U00364,Chile,39,Premium,2021-11-29
U00365,Peru,63,Basic,2023-07-26
U00366,Argentina,19,Premium,2025-04-04
U00367,USA,56,Premium,2023-02-07
U00368,Chile,65,Standard,2024-01-13
U00369,Peru,54,Basic,2024-04-03
U00370,Brazil,40,Premium,2026-02-07
U00371,Canada,57,Premium,2021-04-17
U00372,Argentina,43,Standard,2022-04-12
U00373,Chile,63,Standard,2025-08-24
U00374,USA,55,Basic,2023-10-28
U00375,Mexico,23,Premium,2022-01-04
U00376,Chile,36,Standard,2021-09-30
U00377,Canada,50,Basic,2020-11-29
U00378,Peru,56,Premium,2024-01-24
U00379,Spain,52,Premium,2022-10-12
U00380,USA,27,Premium,2022-03-02
U00381,Brazil,34,Premium,2024-09-29
U00382,Peru,19,Basic,2024-12-15
U00383,Canada,27,Standard,2023-02-21
U00384,Peru,26,Standard,2021-04-27
U00385,Peru,49,Premium,2023-11-01
U00386,USA,36,Standard,2022-11-03
U00387,Chile,43,Premium,2020-11-27
U00388,USA,43,Basic,2023-12-03
U00389,Argentina,34,Standard,2022-11-25
U00390,Canada,19,Standard,2024-02-06
U00391,Peru,35,Premium,2024-07-06
U00392,Argentina,42,Premium,2022-08-30
U00393,Argentina,24,Basic,2021-05-29
U00394,USA,34,Standard,2024-12-22
U00395,Mexico,43,Basic,2022-01-03
U00396,Peru,35,Basic,2022-07-21
U00397,Brazil,30,Basic,2024-03-23
U00398,Peru,59,Basic,2026-01-14
U00399,Brazil,65,Basic,2024-11-09
U00400,Chile,57,Premium,2025-09-09
U00401,Argentina,21,Standard,2021-01-08
U00402,USA,42,Premium,2025-10-01
U00403,Mexico,46,Premium,2024-08-09
U00404,Chile,43,Standard,2022-06-08
U00405,Chile,34,Standard,2024-11-25
U00406,Canada,28,Premium,2021-12-04
U00407,Mexico,64,Basic,2022-09-13
U00408,Brazil,40,Standard,2021-12-02
U00409,Spain,18,Premium,2024-03-21
U00410,Chile,59,Standard,2025-10-09
U00411,Mexico,25,Basic,2020-12-18
U00412,Argentina,60,Premium,2023-05-15
U00413,Argentina,36,Standard,2021-02-01
U00414,Mexico,29,Premium,2023-08-22
U00415,Brazil,42,Basic,2024-04-20
U00416,Chile,20,Standard,2021-07-15
U00417,Argentina,42,Premium,2026-01-04
U00418,Mexico,51,Basic,2021-07-22
U00419,USA,36,Standard,2024-03-17
U00420,Chile,30,Basic,2020-12-30
U00421,Chile,60,Standard,2020-11-19
U00422,Spain,59,Premium,2024-05-26
U00423,Canada,21,Standard,2024-03-13
U00424,Canada,63,Premium,2023-03-28
U00425,Argentina,58,Premium,2023-05-04
U00426,Spain,52,Standard,2021-10-18
U00427,Chile,38,Standard,2026-02-28
U00428,Mexico,18,Basic,2025-10-16
U00429,Spain,22,Premium,2021-12-17
U00430,Mexico,49,Premium,2025-10-13
U00431,Spain,45,Standard,2021-06-26
U00432,Spain,46,Basic,2025-08-20
U00433,USA,21,Premium,2022-10-01
U00434,USA,43,Standard,2023-05-12
U00435,Canada,50,Premium,2023-03-28
U00436,Chile,28,Basic,2025-06-28
U00437,Argentina,34,Basic,2022-06-23
U00438,Peru,41,Basic,2020-12-02
U00439,Spain,25,Basic,2023-09-09
U00440,Mexico,64,Basic,2021-03-18
U00441,USA,38,Standard,2021-05-29
U00442,Mexico,30,Basic,2025-03-06
U00443,Argentina,42,Standard,2023-05-23
U00444,Mexico,52,Standard,2022-03-14
U00445,Argentina,37,Standard,2022-10-11
U00446,Mexico,24,Basic,2025-05-27
U00447,Spain,33,Standard,2022-09-13
U00448,Argentina,35,Standard,2024-08-26
U00449,Canada,47,Standard,2025-05-01
U00450,Spain,46,Standard,2021-11-17
U00451,Argentina,50,Basic,2022-06-16
U00452,Spain,49,Standard,2020-12-28
U00453,Chile,33,Premium,2023-06-11
U00454,Spain,52,Premium,2024-06-29
U00455,Brazil,20,Premium,2021-09-23
U00456,USA,30,Standard,2020-12-08
U00457,Mexico,62,Standard,2023-03-27
U00458,Canada,34,Standard,2023-08-09
U00459,Chile,18,Basic,2021-11-26
U00460,Brazil,63,Standard,2025-01-10
U00461,Chile,27,Premium,2025-01-18
U00462,USA,50,Premium,2022-09-14
U00463,Spain,57,Standard,2021-12-14
U00464,USA,21,Standard,2022-03-20
U00465,Mexico,65,Premium,2022-03-26
U00466,Chile,20,Basic,2022-10-13
U00467,Canada,56,Premium,2023-10-28
U00468,Mexico,18,Basic,2021-06-03
U00469,Mexico,44,Premium,2023-06-07
U00470,Peru,30,Basic,2021-02-10
U00471,Peru,41,Standard,2025-11-15
U00472,Mexico,35,Basic,2023-01-24
U00473,Argentina,47,Basic,2024-05-27
U00474,Canada,27,Basic,2024-12-20
U00475,USA,49,Standard,2024-06-17
U00476,Brazil,42,Standard,2024-11-12
U00477,Argentina,46,Standard,2021-03-13
U00478,Canada,36,Premium,2021-06-07
U00479,USA,37,Premium,2022-02-06
U00480,USA,47,Basic,2023-03-04
U00481,Peru,28,Standard,2023-07-11
U00482,Brazil,29,Standard,2025-10-06
U00483,USA,22,Premium,2025-09-20
U00484,Chile,51,Premium,2021-10-05
U00485,Chile,53,Basic,2021-06-12
U00486,Spain,32,Basic,2026-02-24
U00487,Mexico,49,Basic,2023-04-16
U00488,Chile,47,Basic,2021-08-17
U00489,Chile,25,Basic,2021-04-09
U00490,USA,58,Premium,2025-01-20
U00491,USA,29,Premium,2024-02-10
U00492,Spain,63,Premium,2025-01-24
U00493,Argentina,56,Basic,2022-02-24
U00494,Chile,48,Standard,2023-10-02
U00495,Canada,24,Basic,2023-11-27
U00496,Peru,43,Basic,2024-03-06
U00497,Peru,25,Basic,2022-01-30
U00498,Canada,51,Premium,2022-08-05
U00499,Argentina,49,Basic,2023-04-02
U00500,Chile,24,Basic,2021-03-14
U00501,Argentina,62,Basic,2021-04-09
U00502,Spain,32,Standard,2024-09-23
U00503,Peru,27,Premium,2025-10-19
U00504,Argentina,45,Premium,2022-08-31
U00505,Canada,43,Basic,2021-04-11
U00506,Spain,19,Basic,2024-02-09
U00507,Brazil,50,Basic,2024-09-30
U00508,Canada,62,Basic,2025-06-29
U00509,Brazil,19,Basic,2021-10-20
U00510,Chile,63,Basic,2024-02-02
U00511,USA,55,Basic,2024-10-24
U00512,Brazil,62,Standard,2022-05-29
U00513,USA,31,Standard,2023-07-21
U00514,Peru,31,Standard,2020-12-18
U00515,Argentina,24,Basic,2024-04-26
U00516,Canada,33,Basic,2021-12-29
U00517,Chile,30,Premium,2024-10-19
U00518,Brazil,26,Premium,2025-08-26
U00519,Argentina,42,Basic,2024-07-14
U00520,Spain,49,Basic,2024-04-06
U00521,Mexico,56,Standard,2023-09-17
U00522,Mexico,57,Premium,2026-01-14
U00523,Mexico,39,Standard,2021-06-20
U00524,Spain,44,Basic,2022-05-07
U00525,Spain,41,Premium,2024-11-18
U00526,Mexico,28,Standard,2024-09-02
U00527,Mexico,43,Standard,2023-08-13
U00528,Canada,43,Basic,2024-11-07
U00529,USA,29,Premium,2022-01-09
U00530,USA,36,Standard,2023-07-26
U00531,Argentina,38,Premium,2025-12-03
U00532,Spain,47,Premium,2020-12-28
U00533,Peru,38,Premium,2021-03-01
U00534,Canada,20,Standard,2023-04-07
U00535,Mexico,40,Standard,2024-10-25
U00536,Mexico,41,Basic,2024-12-01
U00537,Mexico,58,Standard,2025-10-06
U00538,Spain,62,Basic,2024-07-01
U00539,Canada,19,Standard,2021-03-13
U00540,Peru,55,Standard,2022-01-15
U00541,Brazil,42,Standard,2021-01-02
U00542,Chile,51,Basic,2024-01-26
U00543,Spain,42,Premium,2025-04-18
U00544,Canada,57,Premium,2023-12-29
U00545,Peru,43,Standard,2021-07-18
U00546,Spain,46,Premium,2023-03-05
U00547,Canada,30,Basic,2021-02-15
U00548,Argentina,27,Basic,2022-01-06
U00549,Peru,63,Basic,2022-03-25
U00550,Spain,54,Premium,2023-06-15
U00551,Brazil,23,Premium,2022-03-03
U00552,Mexico,56,Basic,2023-07-26
U00553,Spain,28,Premium,2025-07-26
U00554,Mexico,32,Basic,2022-11-13
U00555,USA,30,Standard,2024-10-04
U00556,Canada,53,Basic,2022-04-18
U00557,Argentina,22,Premium,2026-04-04
U00558,Spain,27,Standard,2021-05-08
U00559,USA,58,Standard,2023-01-07
U00560,USA,54,Premium,2026-03-26
U00561,Canada,52,Standard,2023-11-19
U00562,USA,42,Basic,2021-02-16
U00563,Chile,59,Premium,2022-05-15
U00564,Chile,58,Basic,2023-03-26
U00565,USA,44,Premium,2022-02-06
U00566,USA,52,Premium,2020-11-23
U00567,Mexico,49,Standard,2024-06-17
U00568,Canada,54,Standard,2025-12-14
U00569,Canada,39,Standard,2022-08-22
U00570,Brazil,18,Basic,2025-02-13
U00571,Argentina,32,Standard,2023-09-17
U00572,Canada,42,Standard,2024-04-15
U00573,Mexico,25,Premium,2022-05-11
U00574,Spain,58,Basic,2026-03-29
U00575,Mexico,39,Standard,2023-02-12
U00576,USA,61,Basic,2024-01-30
U00577,Argentina,31,Basic,2024-08-13
U00578,Mexico,35,Premium,2023-02-26
U00579,Mexico,28,Basic,2023-04-26
U00580,USA,42,Premium,2024-10-10
U00581,USA,42,Basic,2025-02-26
U00582,Mexico,39,Basic,2025-05-02
U00583,Peru,42,Basic,2022-07-20
U00584,Mexico,47,Standard,2022-03-31
U00585,USA,27,Premium,2022-06-14
U00586,USA,52,Basic,2022-06-08
U00587,Canada,40,Standard,2023-11-06
U00588,Argentina,22,Standard,2022-03-09
U00589,Chile,54,Basic,2025-01-10
U00590,Canada,46,Basic,2025-09-01
U00591,Chile,47,Basic,2024-11-12
U00592,Peru,45,Premium,2024-05-24
U00593,USA,22,Premium,2022-02-17
U00594,Peru,64,Basic,2023-06-09
U00595,Chile,54,Basic,2021-08-08
U00596,Brazil,33,Basic,2023-11-15
U00597,Mexico,45,Basic,2021-04-08
U00598,Peru,53,Premium,2022-10-10
U00599,Peru,20,Standard,2022-06-15
U00600,Spain,31,Basic,2023-05-15
U00601,Mexico,40,Premium,2025-12-04
U00602,Mexico,43,Standard,2026-03-04
U00603,Chile,28,Premium,2024-10-25
U00604,Peru,22,Premium,2023-05-07
U00605,Argentina,45,Basic,2023-04-03
U00606,Mexico,42,Premium,2023-06-10
U00607,Spain,20,Standard,2025-11-27
U00608,Canada,21,Standard,2022-07-22
U00609,USA,64,Standard,2023-05-11
U00610,Canada,29,Basic,2021-01-14
U00611,Spain,29,Basic,2023-02-10
U00612,Brazil,58,Basic,2024-02-20
U00613,Argentina,18,Basic,2024-02-03
U00614,Argentina,41,Basic,2025-02-02
U00615,Peru,46,Premium,2023-12-24
U00616,Brazil,64,Standard,2021-07-08
U00617,Chile,34,Standard,2023-05-28
U00618,Mexico,40,Basic,2023-07-05
U00619,Argentina,52,Basic,2021-08-01
U00620,Brazil,18,Premium,2025-08-28
U00621,Canada,23,Basic,2026-01-15
U00622,USA,65,Premium,2022-08-12
U00623,Peru,29,Basic,2020-12-08
U00624,Chile,18,Basic,2022-03-28
U00625,Canada,38,Standard,2024-12-07
U00626,Peru,30,Standard,2023-06-20
U00627,Argentina,49,Standard,2022-07-04
U00628,Argentina,34,Standard,2023-07-26
U00629,Argentina,26,Standard,2026-04-07
U00630,USA,56,Premium,2025-02-23
U00631,Argentina,34,Standard,2025-11-02
U00632,Brazil,32,Basic,2025-04-15
U00633,Mexico,48,Standard,2026-03-14
U00634,Chile,20,Premium,2025-07-13
U00635,Chile,59,Standard,2025-07-10
U00636,Argentina,19,Premium,2023-07-11
U00637,Canada,49,Standard,2023-02-15
U00638,Canada,22,Premium,2022-10-24
U00639,USA,37,Standard,2021-06-22
U00640,Mexico,47,Basic,2025-06-29
U00641,Chile,35,Basic,2025-06-11
U00642,Canada,43,Premium,2022-10-30
U00643,Spain,53,Basic,2021-12-14
U00644,Brazil,40,Basic,2023-03-04
U00645,Spain,40,Basic,2025-03-26
U00646,Chile,38,Standard,2022-10-07
U00647,USA,18,Standard,2024-07-19
U00648,Canada,19,Premium,2024-08-31
U00649,USA,65,Standard,2022-08-10
U00650,Brazil,60,Standard,2024-01-21
U00651,Canada,48,Basic,2024-11-27
U00652,USA,41,Basic,2025-09-21
U00653,Brazil,27,Standard,2024-09-23
U00654,Peru,37,Basic,2024-05-11
U00655,Brazil,38,Basic,2024-08-14
U00656,Argentina,36,Standard,2021-09-12
U00657,USA,50,Basic,2024-02-08
