watch_id,user_id,movie_id,watched_at,minutes_watched,completed,device
W0000042,U00708,M00114,2025-05-27 15:04:16.412407,37,False,Tablet
W0000043,U00226,M00196,2026-02-22 15:04:16.412409,66,True,TV
W0000044,U00970,M00008,2025-11-16 15:04:16.412411,92,True,Mobile
W0000045,U00748,M00193,2025-12-16 15:04:16.412413,14,False,Tablet
W0000046,U00695,M00023,2026-04-30 15:04:16.412415,8,False,TV
W0000047,U00288,M00102,2025-06-12 15:04:16.412417,87,True,Tablet
W0000048,U00552,M00203,2025-08-27 15:04:16.412419,44,False,Laptop
W0000049,U00836,M00136,2025-10-06 15:04:16.412420,18,True,Laptop
W0000050,U00392,M00198,2025-09-28 15:04:16.412422,155,False,Tablet
W0000051,U00453,M00147,2026-05-04 15:04:16.412424,118,True,Tablet
W0000052,U00344,M00099,2026-03-05 15:04:16.412426,69,False,Mobile
W0000053,U00910,M00291,2025-11-01 15:04:16.412429,6,False,TV
W0000054,U00471,M00033,2025-08-12 15:04:16.412431,46,True,Laptop
W0000055,U00881,M00204,2025-08-04 15:04:16.412433,22,True,Tablet
W0000056,U00343,M00096,2026-04-09 15:04:16.412435,49,True,Mobile
W0000057,U00371,M00144,2025-12-02 15:04:16.412437,169,False,Mobile
W0000058,U00069,M00065,2025-08-08 15:04:16.412439,76,True,TV
W0000059,U00838,M00132,2025-12-20 15:04:16.412441,126,True,TV
W0000060,U00543,M00176,2026-01-21 15:04:16.412443,148,False,TV
W0000061,U00058,M00201,2025-12-11 15:04:16.412445,34,False,Tablet
W0000062,U00304,M00023,2025-07-10 15:04:16.412447,57,False,Mobile
W0000063,U00701,M00127,2025-12-26 15:04:16.412449,89,False,TV
W0000064,U00907,M00065,2026-01-26 15:04:16.412451,123,False,TV
W0000065,U00213,M00212,2025-05-24 15:04:16.412453,45,False,Laptop
W0000066,U00165,M00013,2025-09-16 15:04:16.412455,127,True,TV
W0000067,U00181,M00275,2025-06-05 15:04:16.412457,145,True,Mobile
W0000068,U00080,M00215,2026-04-23 15:04:16.412459,41,True,TV
W0000069,U00958,M00297,2025-08-16 15:04:16.412462,90,True,Mobile
W0000070,U00578,M00201,2026-02-02 15:04:16.412464,82,True,TV
W0000071,U00188,M00279,2026-02-20 15:04:16.412466,68,False,Laptop
W0000072,U00312,M00099,2025-11-30 15:04:16.412468,119,False,Laptop
W0000073,U00278,M00158,2025-09-15 15:04:16.412470,150,True,Tablet
W0000074,U00244,M00027,2025-12-29 15:04:16.412472,146,True,TV
W0000075,U00415,M00286,2025-07-24 15:04:16.412474,127,True,TV
W0000076,U00996,M00070,2025-11-16 15:04:16.412476,173,True,TV
W0000077,U00669,M00191,2025-05-11 15:04:16.412478,88,False,Tablet
W0000078,U00071,M00142,2025-06-27 15:04:16.412481,49,False,Laptop
W0000079,U00178,M00048,2025-10-14 15:04:16.412483,39,True,Laptop
W0000080,U00430,M00191,2025-07-30 15:04:16.412485,24,True,Mobile
W0000081,U00984,M00007,2025-08-14 15:04:16.412487,118,True,Tablet
W0000082,U00137,M00139,2025-09-27 15:04:16.412489,16,False,Mobile
W0000083,U00938,M00013,2025-10-08 15:04:16.412491,115,True,TV
W0000084,U00171,M00114,2025-10-08 15:04:16.412493,147,False,Tablet
W0000085,U00784,M00034,2025-08-07 15:04:16.412494,124,False,Laptop
W0000086,U00670,M00054,2026-02-20 15:04:16.412497,41,True,Tablet
W0000087,U00408,M00209,2026-01-16 15:04:16.412498,174,False,Mobile
W0000088,U00302,M00234,2025-05-31 15:04:16.412501,180,False,Laptop
W0000089,U00705,M00266,2026-02-09 15:04:16.412503,159,False,Tablet
W0000090,U00102,M00152,2025-05-29 15:04:16.412505,83,True,Tablet
W0000091,U00168,M00287,2026-04-13 15:04:16.412507,160,True,TV
W0000092,U00292,M00054,2026-04-14 15:04:16.412509,44,True,Tablet
W0000093,U00922,M00097,2025-08-11 15:04:16.412511,27,True,TV
W0000094,U00457,M00068,2026-04-27 15:04:16.412513,78,False,Laptop
W0000095,U00876,M00162,2025-05-23 15:04:16.412515,86,True,Tablet
W0000096,U00223,M00272,2025-11-24 15:04:16.412517,88,False,Mobile
W0000097,U00884,M00075,2025-10-10 15:04:16.412519,122,False,TV
W0000098,U00700,M00030,2025-08-06 15:04:16.412520,119,True,TV
W0000099,U00399,M00165,2026-01-06 15:04:16.412522,13,False,Tablet
W0000100,U00191,M00282,2025-05-09 15:04:16.412524,141,True,TV
W0000101,U00769,M00004,2025-11-02 15:04:16.412526,115,True,Tablet
W0000102,U00983,M00294,2026-04-07 15:04:16.412528,108,False,Mobile
W0000103,U00460,M00226,2025-09-22 15:04:16.412530,93,True,Mobile
W0000104,U00520,M00158,2026-04-13 15:04:16.412532,142,True,Tablet
W0000105,U00318,M00231,2026-02-04 15:04:16.412534,169,False,Tablet
W0000106,U00136,M00212,2025-08-18 15:04:16.412537,36,True,TV
W0000107,U00040,M00235,2025-08-18 15:04:16.412539,83,False,Mobile
W0000108,U00515,M00130,2026-02-19 15:04:16.412540,103,False,TV
W0000109,U00797,M00120,2025-07-20 15:04:16.412542,174,True,Laptop
W0000110,U00610,M00085,2026-02-17 15:04:16.412544,93,True,Mobile
W0000111,U00515,M00028,2025-12-09 15:04:16.412546,35,False,Laptop
W0000112,U00022,M00041,2026-04-25 15:04:16.412548,177,False,Mobile
W0000113,U00763,M00202,2026-04-25 15:04:16.412550,83,True,Mobile
W0000114,U00990,M00184,2025-05-22 15:04:16.412552,166,True,TV
W0000115,U00427,M00049,2026-01-03 15:04:16.412555,28,False,Tablet
W0000116,U00746,M00031,2025-06-30 15:04:16.412557,113,True,TV
W0000117,U00056,M00269,2025-07-10 15:04:16.412559,154,True,Laptop
W0000118,U00980,M00140,2025-09-10 15:04:16.412560,117,True,Mobile
W0000119,U00456,M00296,2026-01-01 15:04:16.412562,169,True,TV
W0000120,U00783,M00205,2025-12-05 15:04:16.412564,152,True,TV
W0000121,U00926,M00156,2025-05-22 15:04:16.412566,28,True,Laptop
W0000122,U01000,M00257,2025-05-21 15:04:16.412576,5,False,Mobile
W0000123,U00409,M00252,2025-12-17 15:04:16.412578,71,False,Laptop
W0000124,U00229,M00084,2025-08-18 15:04:16.412580,23,False,Tablet
W0000125,U00868,M00280,2026-03-26 15:04:16.412582,136,True,Mobile
W0000126,U00694,M00077,2025-12-27 15:04:16.412584,20,True,TV
W0000127,U00125,M00056,2025-05-28 15:04:16.412586,35,True,Tablet
W0000128,U00635,M00238,2026-04-07 15:04:16.412589,136,False,Laptop
W0000129,U00718,M00188,2025-12-11 15:04:16.412591,36,False,TV
W0000130,U00549,M00072,2025-07-05 15:04:16.412593,113,True,Mobile
W0000131,U00851,M00119,2025-07-15 15:04:16.412595,50,True,Laptop
W0000132,U00475,M00130,2026-01-28 15:04:16.412597,67,True,Tablet
W0000133,U00263,M00139,2025-05-15 15:04:16.412599,29,False,Mobile
W0000134,U00286,M00216,2026-04-04 15:04:16.412601,119,False,Mobile
W0000135,U00977,M00175,2025-11-05 15:04:16.412603,54,False,Mobile
W0000136,U00031,M00110,2025-11-12 15:04:16.412605,136,False,Laptop
W0000137,U00514,M00187,2025-09-13 15:04:16.412607,56,False,Laptop
W0000138,U00963,M00104,2025-07-06 15:04:16.412609,7,False,Tablet
W0000139,U00261,M00180,2026-01-29 15:04:16.412611,153,True,TV
W0000140,U00409,M00059,2026-03-17 15:04:16.412613,80,True,Tablet
W0000141,U00063,M00194,2025-12-23 15:04:16.412615,5,False,Laptop
W0000142,U00438,M00210,2026-01-19 15:04:16.412617,57,False,TV
W0000143,U00153,M00138,2025-12-04 15:04:16.412619,74,True,TV
W0000144,U00367,M00025,2025-12-29 15:04:16.412621,103,False,Mobile
W0000145,U00822,M00069,2025-10-02 15:04:16.412623,179,False,TV
W0000146,U00536,M00286,2026-02-19 15:04:16.412625,95,True,Tablet
W0000147,U00957,M00055,2025-07-07 15:04:16.412627,87,False,Laptop
W0000148,U00412,M00145,2026-02-04 15:04:16.412628,12,False,Mobile
W0000149,U00881,M00249,2026-03-21 15:04:16.412630,43,True,TV
W0000150,U00719,M00127,2025-06-05 15:04:16.412632,97,True,Tablet
W0000151,U00729,M00102,2025-09-20 15:04:16.412634,67,False,TV
W0000152,U00612,M00089,2025-12-30 15:04:16.412636,54,True,Laptop
W0000153,U00390,M00101,2025-08-18 15:04:16.412638,159,True,Mobile
W0000154,U00956,M00166,2026-02-26 15:04:16.412640,116,True,TV
W0000155,U00152,M00176,2025-09-17 15:04:16.412642,108,False,Mobile
W0000156,U00610,M00015,2025-09-12 15:04:16.412644,38,False,Tablet
W0000157,U00777,M00131,2025-07-20 15:04:16.412646,90,True,Tablet
W0000158,U00808,M00042,2026-04-16 15:04:16.412648,93,False,TV
W0000159,U00415,M00287,2026-02-17 15:04:16.412650,71,True,Mobile
W0000160,U00374,M00057,2026-03-15 15:04:16.412652,11,False,TV
W0000161,U00939,M00023,2025-07-28 15:04:16.412654,115,True,Mobile
W0000162,U00531,M00143,2026-04-30 15:04:16.412656,161,False,Mobile
W0000163,U00412,M00031,2026-03-19 15:04:16.412658,113,False,Mobile
W0000164,U00498,M00066,2026-01-27 15:04:16.412660,169,True,Laptop
W0000165,U00147,M00030,2025-08-06 15:04:16.412662,80,True,TV
W0000166,U00294,M00120,2026-01-29 15:04:16.412664,96,False,TV
W0000167,U00153,M00124,2025-06-02 15:04:16.412665,141,False,Tablet
W0000168,U00532,M00046,2025-10-24 15:04:16.412667,134,False,Tablet
W0000169,U00631,M00291,2026-02-09 15:04:16.412669,178,False,Mobile
W0000170,U00176,M00184,2026-03-31 15:04:16.412671,174,False,Tablet
W0000171,U00390,M00148,2026-02-19 15:04:16.412673,130,True,Laptop
W0000172,U00702,M00239,2025-09-15 15:04:16.412675,47,False,Laptop
W0000173,U00835,M00107,2026-04-21 15:04:16.412677,91,True,Mobile
W0000174,U00590,M00125,2025-07-11 15:04:16.412680,120,False,TV
W0000175,U00601,M00195,2025-05-28 15:04:16.412682,152,True,Laptop
W0000176,U00236,M00170,2025-12-01 15:04:16.412684,88,True,Mobile
W0000177,U00475,M00293,2026-01-05 15:04:16.412686,87,True,Laptop
W0000178,U00429,M00019,2026-02-04 15:04:16.412688,161,False,Laptop
W0000179,U00915,M00122,2026-04-17 15:04:16.412689,16,True,TV
W0000180,U00679,M00066,2026-04-27 15:04:16.412691,161,False,Laptop
W0000181,U00995,M00123,2025-07-20 15:04:16.412693,38,True,TV
W0000182,U00009,M00002,2025-07-05 15:04:16.412696,25,False,Tablet
W0000183,U00724,M00062,2025-07-09 15:04:16.412697,109,False,Mobile
W0000184,U00865,M00089,2025-06-05 15:04:16.412699,19,False,Laptop
W0000185,U00785,M00167,2025-05-19 15:04:16.412701,148,False,Laptop
W0000186,U00082,M00193,2026-05-04 15:04:16.412703,95,True,Laptop
W0000187,U00612,M00056,2025-10-03 15:04:16.412705,86,True,Mobile
W0000188,U00436,M00238,2025-11-17 15:04:16.412707,11,False,Tablet
W0000189,U00361,M00198,2025-09-02 15:04:16.412710,65,False,TV
W0000190,U00015,M00049,2026-02-15 15:04:16.412712,73,False,TV
W0000191,U00440,M00085,2025-05-24 15:04:16.412714,70,True,TV
W0000192,U00015,M00169,2026-01-04 15:04:16.412716,58,True,Mobile
W0000193,U00868,M00296,2025-12-14 15:04:16.412718,170,True,Mobile
W0000194,U00448,M00173,2025-08-26 15:04:16.412720,174,True,Tablet
W0000195,U00688,M00251,2026-04-11 15:04:16.412722,135,True,Tablet
W0000196,U00439,M00130,2025-06-20 15:04:16.412723,44,True,Mobile
W0000197,U00336,M00043,2026-02-14 15:04:16.412725,24,True,Tablet
W0000198,U00288,M00076,2026-02-07 15:04:16.412727,129,False,TV
W0000199,U00507,M00223,2026-04-06 15:04:16.412729,136,True,Tablet
W0000200,U00436,M00141,2025-07-16 15:04:16.412731,99,False,Mobile
W0000201,U00122,M00113,2025-07-24 15:04:16.412733,153,True,Tablet
W0000202,U00344,M00137,2025-10-24 15:04:16.412735,149,False,Laptop
W0000203,U00916,M00097,2025-11-01 15:04:16.412737,24,True,Mobile
W0000204,U00485,M00296,2025-08-19 15:04:16.412739,172,True,Tablet
W0000205,U00538,M00150,2026-03-15 15:04:16.412741,32,True,Laptop
W0000206,U00577,M00244,2025-08-09 15:04:16.412743,142,False,Mobile
W0000207,U00323,M00246,2026-05-09 15:04:16.412745,134,True,Tablet
W0000208,U00688,M00299,2025-10-07 15:04:16.412747,69,False,Mobile
W0000209,U00924,M00178,2026-03-12 15:04:16.412750,111,True,Tablet
W0000210,U00069,M00040,2025-08-27 15:04:16.412751,59,False,TV
W0000211,U00298,M00298,2025-07-30 15:04:16.412754,93,False,Tablet
W0000212,U00757,M00226,2026-03-12 15:04:16.412756,139,False,Laptop
W0000213,U00486,M00178,2025-05-18 15:04:16.412757,127,False,Tablet
W0000214,U00136,M00129,2025-05-12 15:04:16.412759,153,False,Laptop
W0000215,U00870,M00078,2025-05-24 15:04:16.412761,108,True,Tablet
W0000216,U00651,M00178,2026-01-03 15:04:16.412763,94,False,Mobile
W0000217,U00280,M00163,2026-01-29 15:04:16.412765,98,False,Mobile
W0000218,U00700,M00285,2025-05-24 15:04:16.412767,179,False,TV
W0000219,U00653,M00191,2025-05-24 15:04:16.412770,95,True,Laptop
W0000220,U00813,M00271,2026-01-28 15:04:16.412771,112,False,TV
W0000221,U00754,M00135,2025-12-19 15:04:16.412774,175,False,TV
W0000222,U00619,M00273,2025-11-18 15:04:16.412776,101,False,TV
W0000223,U00236,M00222,2025-11-13 15:04:16.412778,69,False,Tablet
W0000224,U00029,M00293,2026-03-25 15:04:16.412780,30,True,Laptop
W0000225,U00212,M00300,2026-01-16 15:04:16.412782,157,False,Mobile
W0000226,U00266,M00009,2025-07-21 15:04:16.412784,161,True,Tablet
W0000227,U00186,M00183,2025-06-05 15:04:16.412786,111,False,Mobile
W0000228,U00046,M00152,2025-06-15 15:04:16.412788,173,True,Mobile
W0000229,U00941,M00137,2025-09-04 15:04:16.412790,169,False,Mobile
W0000230,U00402,M00182,2026-04-30 15:04:16.412792,107,False,Mobile
W0000231,U00872,M00140,2025-09-20 15:04:16.412794,71,True,Mobile
W0000232,U00052,M00290,2025-05-22 15:04:16.412796,72,False,TV
W0000233,U00319,M00116,2025-08-24 15:04:16.412798,156,False,Tablet
W0000234,U00971,M00295,2026-03-17 15:04:16.412800,84,True,Mobile
W0000235,U00052,M00129,2025-07-16 15:04:16.412802,155,True,Tablet
W0000236,U00176,M00054,2025-11-21 15:04:16.412804,174,True,Mobile
W0000237,U00409,M00196,2025-08-23 15:04:16.412806,12,False,Tablet
W0000238,U00139,M00218,2025-11-22 15:04:16.412807,94,True,Laptop
W0000239,U00814,M00032,2026-01-31 15:04:16.412809,63,False,Tablet
W0000240,U00987,M00226,2026-04-17 15:04:16.412811,150,False,Laptop
W0000241,U00040,M00293,2025-07-05 15:04:16.412813,44,False,TV
W0000242,U00067,M00175,2026-03-01 15:04:16.412815,53,False,Mobile
W0000243,U00265,M00233,2025-12-20 15:04:16.412817,111,False,Mobile
W0000244,U00046,M00007,2026-02-03 15:04:16.412819,73,False,Mobile
W0000245,U00520,M00191,2026-01-07 15:04:16.412821,140,False,TV
W0000246,U00939,M00154,2026-01-29 15:04:16.412823,160,False,Mobile
W0000247,U00599,M00042,2025-10-16 15:04:16.412825,73,True,Tablet
W0000248,U00850,M00019,2026-03-16 15:04:16.412827,60,False,Laptop
W0000249,U00492,M00218,2025-10-28 15:04:16.412829,137,False,TV
W0000250,U00125,M00183,2025-09-28 15:04:16.412831,57,False,Tablet
W0000251,U00051,M00065,2026-04-14 15:04:16.412833,134,True,Mobile
W0000252,U00436,M00269,2025-09-30 15:04:16.412835,85,True,Tablet
W0000253,U00561,M00182,2025-08-11 15:04:16.412837,156,False,Mobile
W0000254,U00880,M00102,2025-09-30 15:04:16.412839,38,False,Tablet
W0000255,U00682,M00037,2025-10-25 15:04:16.412841,116,True,TV
W0000256,U00710,M00294,2026-04-04 15:04:16.412843,110,True,Tablet
W0000257,U00669,M00221,2025-10-17 15:04:16.412845,67,True,Laptop
W0000258,U00995,M00281,2025-09-21 15:04:16.412847,137,True,Tablet
W0000259,U00436,M00159,2025-12-12 15:04:16.412849,25,True,TV
W0000260,U00434,M00162,2025-06-17 15:04:16.412850,75,True,Laptop
W0000261,U00978,M00225,2025-12-25 15:04:16.412852,70,False,TV
W0000262,U00316,M00017,2026-02-10 15:04:16.412854,42,True,TV
W0000263,U00655,M00219,2026-03-20 15:04:16.412857,8,True,Tablet
W0000264,U00570,M00109,2026-04-21 15:04:16.412859,94,True,Tablet
W0000265,U00731,M00026,2025-05-13 15:04:16.412861,174,False,Laptop
W0000266,U00373,M00274,2026-02-26 15:04:16.412863,8,True,Mobile
W0000267,U00731,M00226,2026-03-22 15:04:16.412865,37,True,Laptop
W0000268,U00155,M00108,2026-04-05 15:04:16.412866,50,False,Mobile
W0000269,U00719,M00105,2025-06-18 15:04:16.412868,72,True,TV
W0000270,U00872,M00275,2025-05-12 15:04:16.412871,6,False,Laptop
W0000271,U00570,M00103,2026-02-02 15:04:16.412873,21,False,Mobile
W0000272,U00606,M00018,2025-09-14 15:04:16.412875,12,False,Mobile
W0000273,U00801,M00055,2026-03-05 15:04:16.412877,152,True,Tablet
W0000274,U00400,M00259,2025-06-03 15:04:16.412879,138,True,TV
W0000275,U00373,M00227,2026-05-02 15:04:16.412881,123,False,Laptop
W0000276,U00525,M00090,2025-07-03 15:04:16.412883,115,False,Laptop
W0000277,U00769,M00194,2025-09-11 15:04:16.412885,29,False,Tablet
W0000278,U00013,M00091,2025-06-17 15:04:16.412887,140,False,Mobile
W0000279,U00754,M00073,2025-07-30 15:04:16.412889,174,False,Laptop
W0000280,U00449,M00018,2026-01-28 15:04:16.412891,119,True,Laptop
W0000281,U00876,M00100,2026-02-13 15:04:16.412893,58,False,Tablet
W0000282,U00115,M00288,2026-04-20 15:04:16.412895,64,True,TV
W0000283,U00656,M00290,2025-10-02 15:04:16.412897,41,False,TV
W0000284,U00901,M00157,2025-11-01 15:04:16.412899,59,True,Laptop
W0000285,U00701,M00068,2025-12-09 15:04:16.412901,40,True,Laptop
W0000286,U00653,M00201,2025-07-30 15:04:16.412903,178,True,Mobile
W0000287,U00751,M00234,2025-12-28 15:04:16.412905,175,False,TV
W0000288,U00373,M00228,2025-08-30 15:04:16.412907,141,True,Mobile
W0000289,U00710,M00281,2025-09-26 15:04:16.412909,61,True,Mobile
W0000290,U00173,M00274,2026-01-20 15:04:16.412911,113,True,Mobile
W0000291,U00498,M00083,2025-08-27 15:04:16.412913,176,False,TV
W0000292,U00620,M00060,2026-04-26 15:04:16.412915,34,False,Mobile
W0000293,U00375,M00121,2025-05-30 15:04:16.412917,48,True,Tablet
W0000294,U00398,M00003,2026-03-04 15:04:16.412919,95,False,TV
W0000295,U00105,M00164,2026-04-03 15:04:16.412921,98,False,Tablet
W0000296,U00490,M00237,2025-07-10 15:04:16.412922,94,True,TV
W0000297,U00844,M00186,2025-08-15 15:04:16.412924,91,True,Mobile
W0000298,U00282,M00105,2026-04-20 15:04:16.412926,110,True,TV
W0000299,U00268,M00169,2026-05-09 15:04:16.412928,149,True,Tablet
W0000300,U00088,M00142,2025-12-15 15:04:16.412930,88,False,TV
W0000301,U00739,M00237,2025-10-08 15:04:16.412932,178,True,Laptop
W0000302,U00531,M00238,2025-10-05 15:04:16.412934,164,True,TV
W0000303,U00556,M00021,2026-01-03 15:04:16.412936,158,True,TV
W0000304,U00489,M00127,2025-10-02 15:04:16.412938,143,True,Laptop
W0000305,U00130,M00024,2025-10-01 15:04:16.412940,159,False,TV
W0000306,U00071,M00156,2025-11-25 15:04:16.412942,108,True,Laptop
W0000307,U00097,M00226,2026-01-19 15:04:16.412944,42,True,Mobile
W0000308,U00661,M00145,2026-02-24 15:04:16.412946,100,True,Laptop
W0000309,U00723,M00151,2025-07-25 15:04:16.412948,113,False,TV
W0000310,U00959,M00093,2026-03-04 15:04:16.412951,14,False,Mobile
W0000311,U00409,M00265,2025-09-08 15:04:16.412952,170,False,Mobile
W0000312,U00766,M00011,2026-04-13 15:04:16.412954,86,False,Laptop
W0000313,U00145,M00149,2025-06-01 15:04:16.412956,112,True,Mobile
W0000314,U00048,M00174,2026-04-20 15:04:16.412958,70,False,Tablet
W0000315,U00766,M00086,2025-06-29 15:04:16.412960,89,True,Laptop
W0000316,U01000,M00292,2025-08-02 15:04:16.412962,159,False,Laptop
W0000317,U00537,M00282,2025-09-27 15:04:16.412964,40,False,Tablet
W0000318,U00318,M00117,2025-06-15 15:04:16.412966,106,False,Laptop
W0000319,U00254,M00117,2025-10-15 15:04:16.412968,143,False,Tablet
W0000320,U00439,M00200,2025-06-21 15:04:16.412970,86,False,TV
W0000321,U00477,M00115,2025-12-23 15:04:16.412972,160,False,Laptop
W0000322,U00902,M00178,2025-06-10 15:04:16.412974,76,False,Tablet
W0000323,U00124,M00150,2025-06-14 15:04:16.412976,22,False,Tablet
W0000324,U00496,M00224,2025-08-04 15:04:16.412978,8,True,Laptop
W0000325,U00734,M00073,2025-12-18 15:04:16.412979,141,False,Tablet
W0000326,U00079,M00104,2025-07-30 15:04:16.412981,151,False,Tablet
W0000327,U00797,M00216,2026-01-21 15:04:16.412983,11,True,Laptop
W0000328,U00011,M00199,2026-02-14 15:04:16.412985,92,True,Mobile
W0000329,U00550,M00207,2025-10-11 15:04:16.412987,118,True,Laptop
W0000330,U00576,M00238,2026-02-15 15:04:16.412989,82,False,Tablet
W0000331,U00772,M00130,2025-09-30 15:04:16.412991,14,False,TV
W0000332,U00537,M00011,2025-11-04 15:04:16.412993,101,False,Tablet
W0000333,U00787,M00254,2025-07-16 15:04:16.412995,104,True,Laptop
W0000334,U00866,M00263,2025-09-16 15:04:16.412997,63,False,Mobile
W0000335,U00466,M00094,2025-05-13 15:04:16.412999,13,True,Laptop
W0000336,U00421,M00127,2026-04-03 15:04:16.413001,50,True,TV
W0000337,U00576,M00266,2025-06-04 15:04:16.413003,110,False,Laptop
W0000338,U00076,M00164,2025-11-23 15:04:16.413005,80,False,Mobile
W0000339,U00021,M00205,2026-04-04 15:04:16.413007,176,True,TV
W0000340,U00891,M00178,2025-11-03 15:04:16.413009,5,False,Mobile
W0000341,U00744,M00062,2025-08-08 15:04:16.413012,5,True,Tablet
W0000342,U00843,M00174,2026-04-05 15:04:16.413014,20,True,Tablet
W0000343,U00881,M00067,2026-03-04 15:04:16.413016,6,False,Laptop
W0000344,U00769,M00119,2026-01-16 15:04:16.413018,173,False,TV
W0000345,U00417,M00217,2025-06-26 15:04:16.413020,172,True,Tablet
W0000346,U00799,M00280,2025-07-06 15:04:16.413022,29,True,Tablet
W0000347,U00132,M00009,2025-10-13 15:04:16.413024,115,False,Mobile
W0000348,U00098,M00266,2025-11-15 15:04:16.413026,71,True,Tablet
W0000349,U00710,M00298,2026-04-26 15:04:16.413028,71,True,Tablet
W0000350,U00650,M00208,2026-01-27 15:04:16.413029,108,True,TV
W0000351,U00501,M00271,2026-05-04 15:04:16.413031,34,False,Tablet
W0000352,U00431,M00174,2026-01-20 15:04:16.413033,87,False,Laptop
W0000353,U00282,M00115,2026-03-20 15:04:16.413035,61,False,Laptop
W0000354,U00189,M00177,2026-02-15 15:04:16.413037,25,True,Mobile
W0000355,U00161,M00119,2025-06-08 15:04:16.413039,72,False,Tablet
W0000356,U00128,M00174,2026-01-13 15:04:16.413042,177,False,TV
W0000357,U00533,M00276,2025-09-19 15:04:16.413043,155,True,Laptop
W0000358,U00175,M00274,2025-08-10 15:04:16.413045,96,True,TV
W0000359,U00517,M00028,2025-06-20 15:04:16.413047,42,False,TV
W0000360,U00067,M00213,2025-08-31 15:04:16.413049,84,True,Mobile
W0000361,U00515,M00255,2025-07-01 15:04:16.413051,46,True,Mobile
W0000362,U00396,M00156,2026-03-20 15:04:16.413053,172,False,Tablet
W0000363,U00821,M00082,2025-08-28 15:04:16.413055,21,True,Mobile
W0000364,U00802,M00209,2025-08-03 15:04:16.413057,132,False,TV
W0000365,U00713,M00122,2025-08-29 15:04:16.413059,45,True,Tablet
W0000366,U00164,M00052,2025-08-27 15:04:16.413061,81,True,Mobile
W0000367,U00411,M00014,2026-02-13 15:04:16.413063,179,True,Laptop
W0000368,U00187,M00185,2025-05-11 15:04:16.413065,57,False,Tablet
W0000369,U00588,M00229,2025-12-09 15:04:16.413067,148,True,Mobile
W0000370,U01000,M00079,2025-11-02 15:04:16.413069,51,True,Mobile
W0000371,U00729,M00264,2025-09-08 15:04:16.413071,30,False,TV
