movie_id,title,genre,release_year,duration_minutes,rating,views
M00060,Movie 60,Horror,2001,166,3.9,131269
M00061,Movie 61,Horror,1998,97,4.4,327211
M00062,Movie 62,Documentary,1993,146,3.5,188966
M00063,Movie 63,Thriller,2010,160,5.0,49143
M00064,Movie 64,Animation,2023,150,4.1,42566
M00065,Movie 65,Animation,2009,147,4.5,260105
M00066,Movie 66,Horror,2012,124,4.5,452368
M00067,Movie 67,Documentary,2007,128,3.6,24576
M00068,Movie 68,Horror,1997,109,3.9,42725
M00069,Movie 69,Horror,2002,170,3.5,427693
M00070,Movie 70,Romance,2003,144,3.2,14184
M00071,Movie 71,Comedy,2016,141,4.7,145671
M00072,Movie 72,Sci-Fi,2009,108,2.7,334531
M00073,Movie 73,Comedy,1997,160,4.7,185097
M00074,Movie 74,Romance,2025,85,3.1,80310
M00075,Movie 75,Romance,2006,130,2.7,216871
M00076,Movie 76,Comedy,1998,171,2.9,446415
M00077,Movie 77,Thriller,2019,146,4.0,386827
M00078,Movie 78,Sci-Fi,2000,121,4.3,222259
M00079,Movie 79,Thriller,2005,129,3.1,454599
M00080,Movie 80,Horror,2014,93,3.8,462931
M00081,Movie 81,Horror,2002,91,4.7,305015
M00082,Movie 82,Comedy,2023,84,4.8,219313
M00083,Movie 83,Action,2015,152,2.9,478794
M00084,Movie 84,Sci-Fi,1991,132,4.2,265898
M00085,Movie 85,Horror,1992,173,2.7,413701
M00086,Movie 86,Comedy,2020,111,4.7,463997
M00087,Movie 87,Documentary,2016,102,4.8,436061
M00088,Movie 88,Comedy,2004,160,4.4,469791
M00089,Movie 89,Drama,2013,126,3.3,371286
M00090,Movie 90,Horror,2000,127,4.6,192742
M00091,Movie 91,Horror,2015,164,3.3,262831
M00092,Movie 92,Animation,1999,88,4.2,434128
M00093,Movie 93,Documentary,1997,172,4.7,18368
M00094,Movie 94,Romance,2000,123,5.0,178759
M00095,Movie 95,Romance,2016,149,3.2,249611
M00096,Movie 96,Animation,2015,178,3.7,365021
M00097,Movie 97,Sci-Fi,2020,175,4.2,389299
M00098,Movie 98,Thriller,2017,117,3.2,174966
M00099,Movie 99,Action,1996,153,3.5,313709
M00100,Movie 100,Animation,2002,134,3.5,473331
M00101,Movie 101,Horror,2013,118,4.6,161875
M00102,Movie 102,Drama,2014,102,4.7,246032
M00103,Movie 103,Sci-Fi,2008,111,3.6,262032
M00104,Movie 104,Thriller,2002,95,4.0,468267
M00105,Movie 105,Comedy,2006,171,3.0,124010
M00106,Movie 106,Action,2016,173,4.5,160344
M00107,Movie 107,Documentary,2020,96,4.4,226469
M00108,Movie 108,Animation,1991,174,4.4,266194
M00109,Movie 109,Documentary,2003,137,2.5,269270
M00110,Movie 110,Action,2007,166,4.4,370073
M00111,Movie 111,Action,2001,101,2.7,320564
M00112,Movie 112,Sci-Fi,1993,138,4.2,490800
M00113,Movie 113,Animation,2015,170,4.2,168759
M00114,Movie 114,Animation,1998,141,3.1,134547
M00115,Movie 115,Documentary,2011,118,2.8,176983
M00116,Movie 116,Thriller,2012,113,4.0,424949
M00117,Movie 117,Drama,1993,159,4.3,334265
M00118,Movie 118,Fantasy,2014,114,4.4,430603
M00119,Movie 119,Fantasy,2021,94,4.7,218709
M00120,Movie 120,Thriller,2017,107,3.8,142837
M00121,Movie 121,Thriller,1992,176,4.2,7279
M00122,Movie 122,Sci-Fi,1996,172,3.6,85858
M00123,Movie 123,Comedy,2015,114,3.9,222604
M00124,Movie 124,Thriller,2009,156,2.6,411347
M00125,Movie 125,Action,1991,153,4.2,108367
M00126,Movie 126,Fantasy,2003,134,4.3,230612
M00127,Movie 127,Horror,1998,122,3.3,133380
M00128,Movie 128,Comedy,2005,154,4.6,378722
M00129,Movie 129,Action,2024,86,4.8,436128
M00130,Movie 130,Thriller,2022,118,4.3,27232
M00131,Movie 131,Romance,1998,133,3.5,247561
M00132,Movie 132,Action,2016,123,2.7,410258
M00133,Movie 133,Fantasy,2009,104,3.3,414466
M00134,Movie 134,Animation,2020,129,2.6,273113
M00135,Movie 135,Fantasy,2001,171,4.4,383586
M00136,Movie 136,Animation,2002,115,2.7,177992
M00137,Movie 137,Sci-Fi,2022,180,4.5,353336
M00138,Movie 138,Horror,2000,93,2.6,445557
M00139,Movie 139,Drama,1990,176,3.0,69066
M00140,Movie 140,Drama,1992,178,3.8,458244
M00141,Movie 141,Fantasy,2024,143,3.3,351414
M00142,Movie 142,Romance,2021,115,4.4,151226
M00143,Movie 143,Documentary,1995,105,2.7,497082
M00144,Movie 144,Comedy,2002,109,3.8,108634
M00145,Movie 145,Comedy,2021,140,4.3,415714
M00146,Movie 146,Animation,2023,117,3.7,151767
M00147,Movie 147,Animation,2023,89,4.9,332591
M00148,Movie 148,Animation,2020,97,2.7,40948
M00149,Movie 149,Drama,2001,87,3.0,403864
M00150,Movie 150,Sci-Fi,2014,137,3.9,453046
M00151,Movie 151,Drama,2007,104,3.8,310288
M00152,Movie 152,Drama,2025,176,3.1,408654
M00153,Movie 153,Romance,2007,120,4.6,456921
M00154,Movie 154,Drama,2013,168,4.5,79781
M00155,Movie 155,Thriller,2009,127,4.3,443168
M00156,Movie 156,Comedy,2007,171,4.5,84494
M00157,Movie 157,Fantasy,2005,130,3.8,225632
M00158,Movie 158,Fantasy,1993,142,3.8,209314
M00159,Movie 159,Animation,2005,166,4.8,201295
M00160,Movie 160,Thriller,2015,123,3.1,420052
M00161,Movie 161,Documentary,2021,158,3.6,379042
M00162,Movie 162,Sci-Fi,2019,102,2.9,323453
M00163,Movie 163,Animation,2004,141,3.6,464222
M00164,Movie 164,Documentary,1995,120,3.2,54894
M00165,Movie 165,Documentary,2004,146,3.3,62715
M00166,Movie 166,Animation,1994,131,2.9,48714
M00167,Movie 167,Sci-Fi,2004,96,3.6,280474
M00168,Movie 168,Romance,2008,116,4.3,458346
M00169,Movie 169,Fantasy,1992,129,3.9,51088
M00170,Movie 170,Thriller,2013,87,3.1,355722
M00171,Movie 171,Horror,2001,100,4.5,240575
M00172,Movie 172,Drama,2010,128,4.9,51760
M00173,Movie 173,Thriller,2017,171,2.7,170120
M00174,Movie 174,Fantasy,2003,112,4.5,275000
M00175,Movie 175,Sci-Fi,2013,95,4.3,495387
M00176,Movie 176,Romance,1995,122,3.9,256486
M00177,Movie 177,Sci-Fi,2025,84,3.0,409559
M00178,Movie 178,Animation,2005,148,3.5,28545
M00179,Movie 179,Romance,2024,83,3.6,37623
M00180,Movie 180,Fantasy,2022,125,2.9,169243
M00181,Movie 181,Drama,2012,178,4.8,126262
M00182,Movie 182,Thriller,2012,96,3.8,404182
M00183,Movie 183,Animation,2010,123,3.0,280691
M00184,Movie 184,Drama,2006,84,4.8,476683
M00185,Movie 185,Animation,2001,124,2.6,120029
M00186,Movie 186,Comedy,2021,119,3.1,427175
M00187,Movie 187,Thriller,1994,91,4.1,348302
M00188,Movie 188,Fantasy,2018,121,3.2,138772
M00189,Movie 189,Documentary,2008,144,4.2,64219
M00190,Movie 190,Animation,2004,165,4.3,255794
M00191,Movie 191,Drama,2003,179,3.5,479872
M00192,Movie 192,Sci-Fi,2011,87,3.4,426096
M00193,Movie 193,Sci-Fi,2013,119,4.4,427214
M00194,Movie 194,Drama,2023,111,3.5,241404
M00195,Movie 195,Documentary,2018,106,4.2,312535
M00196,Movie 196,Comedy,1998,99,3.8,18501
M00197,Movie 197,Documentary,2008,88,4.1,345859
M00198,Movie 198,Sci-Fi,1994,92,4.0,307150
M00199,Movie 199,Drama,2013,117,4.2,34838
M00200,Movie 200,Action,2002,163,3.5,427323
M00201,Movie 201,Horror,2008,119,4.8,308560
M00202,Movie 202,Thriller,2012,130,4.1,412407
M00203,Movie 203,Documentary,2015,85,4.8,402624
M00204,Movie 204,Animation,1993,81,5.0,102216
M00205,Movie 205,Thriller,1994,145,2.7,469940
M00206,Movie 206,Romance,2005,127,4.4,444244
M00207,Movie 207,Sci-Fi,2006,156,3.1,217097
M00208,Movie 208,Action,2011,134,3.3,402976
M00209,Movie 209,Horror,2013,142,3.1,226808
M00210,Movie 210,Documentary,1994,96,4.1,119409
M00211,Movie 211,Comedy,2019,163,3.8,220088
M00212,Movie 212,Fantasy,1991,155,4.3,316393
M00213,Movie 213,Animation,2001,154,4.5,355295
M00214,Movie 214,Animation,1999,140,3.8,468282
M00215,Movie 215,Drama,2015,112,3.1,474734
M00216,Movie 216,Documentary,1997,89,3.0,179681
M00217,Movie 217,Action,2020,167,4.9,60667
M00218,Movie 218,Documentary,2021,151,4.7,383347
M00219,Movie 219,Thriller,2013,82,2.5,467581
M00220,Movie 220,Documentary,2023,125,4.8,208570
M00221,Movie 221,Animation,2011,88,4.6,112067
M00222,Movie 222,Thriller,1991,123,4.5,185798
M00223,Movie 223,Action,2015,113,2.7,398013
M00224,Movie 224,Romance,2008,154,3.0,259642
M00225,Movie 225,Action,2020,163,3.4,82986
M00226,Movie 226,Fantasy,2014,101,2.6,51342
M00227,Movie 227,Documentary,1995,128,3.8,55378
M00228,Movie 228,Romance,2015,112,4.2,201186
M00229,Movie 229,Animation,2012,122,2.9,391110
M00230,Movie 230,Horror,2018,84,3.6,159211
M00231,Movie 231,Documentary,1993,165,4.6,233225
M00232,Movie 232,Documentary,1991,172,4.1,96585
M00233,Movie 233,Documentary,2003,152,4.7,384489
M00234,Movie 234,Action,2004,89,4.3,44952
M00235,Movie 235,Drama,2005,107,4.5,97471
M00236,Movie 236,Action,1992,128,4.2,151395
M00237,Movie 237,Animation,2011,169,4.7,427652
M00238,Movie 238,Animation,2017,146,4.4,312045
M00239,Movie 239,Drama,2011,143,3.0,129133
M00240,Movie 240,Action,2013,151,3.8,180630
M00241,Movie 241,Action,1998,151,3.7,294737
M00242,Movie 242,Horror,1993,170,4.6,284541
M00243,Movie 243,Romance,2007,147,4.6,488353
M00244,Movie 244,Sci-Fi,2007,99,3.9,105760
M00245,Movie 245,Horror,1994,149,4.4,111586
M00246,Movie 246,Sci-Fi,1992,142,2.7,123813
M00247,Movie 247,Comedy,2001,101,2.6,10919
M00248,Movie 248,Action,2017,144,3.6,104088
M00249,Movie 249,Animation,2018,138,2.9,303985
M00250,Movie 250,Drama,2017,175,3.0,89033
M00251,Movie 251,Comedy,2014,142,2.9,402077
M00252,Movie 252,Horror,1996,142,4.9,145520
M00253,Movie 253,Fantasy,1991,121,3.5,13989
M00254,Movie 254,Fantasy,2000,136,3.4,272419
M00255,Movie 255,Comedy,2009,101,4.7,316047
M00256,Movie 256,Romance,2010,112,3.9,260331
M00257,Movie 257,Thriller,2005,177,2.8,474024
M00258,Movie 258,Drama,2013,106,4.4,331185
M00259,Movie 259,Fantasy,1994,164,3.4,181863
M00260,Movie 260,Comedy,1997,171,4.6,311765
M00261,Movie 261,Sci-Fi,1997,180,3.4,323055
M00262,Movie 262,Fantasy,2010,83,4.3,1385
M00263,Movie 263,Action,2017,162,3.4,379612
M00264,Movie 264,Sci-Fi,1998,169,2.8,172625
M00265,Movie 265,Drama,1998,119,3.4,158015
M00266,Movie 266,Sci-Fi,2024,107,4.5,46911
M00267,Movie 267,Romance,2012,152,4.8,60241
M00268,Movie 268,Comedy,2024,105,4.7,211738
M00269,Movie 269,Romance,2011,165,2.6,36337
M00270,Movie 270,Horror,2005,112,4.9,227947
M00271,Movie 271,Fantasy,2002,91,4.8,384079
M00272,Movie 272,Romance,1999,97,4.8,364618
M00273,Movie 273,Action,1992,178,4.6,215700
M00274,Movie 274,Documentary,2012,168,3.8,493537
M00275,Movie 275,Action,2015,109,3.1,467224
M00276,Movie 276,Romance,2002,167,2.9,37625
M00277,Movie 277,Drama,2007,147,3.3,120036
M00278,Movie 278,Comedy,2004,137,3.8,211948
M00279,Movie 279,Sci-Fi,2024,82,3.3,158188
M00280,Movie 280,Fantasy,2009,163,5.0,282442
M00281,Movie 281,Horror,1997,91,3.2,208759
M00282,Movie 282,Horror,2002,169,4.4,308221
M00283,Movie 283,Action,2009,102,4.1,42476
M00284,Movie 284,Fantasy,2013,122,4.4,222359
M00285,Movie 285,Documentary,2022,107,3.8,400493
M00286,Movie 286,Horror,1994,159,4.6,478435
M00287,Movie 287,Thriller,2009,133,3.9,155756
M00288,Movie 288,Fantasy,2000,116,4.0,286493
M00289,Movie 289,Comedy,1992,164,4.2,194267
M00290,Movie 290,Action,2015,150,3.2,137410
M00291,Movie 291,Documentary,2019,118,4.8,304573
M00292,Movie 292,Romance,2001,169,2.9,313309
M00293,Movie 293,Thriller,2021,110,5.0,17994
M00294,Movie 294,Sci-Fi,2017,97,4.4,371800
M00295,Movie 295,Drama,1997,87,4.0,246806
M00296,Movie 296,Animation,2007,144,2.5,493728
M00297,Movie 297,Thriller,1996,91,4.4,235526
M00298,Movie 298,Sci-Fi,2003,156,2.6,423505
M00299,Movie 299,Documentary,1999,149,4.8,326791
M00300,Movie 300,Thriller,2023,129,3.7,70538
